market,name,status,http_code,content_type,bytes,path,sha256,url
intl,INTL World Bank 世界银行,ok,200,text/html,60555,intl/INTL_World_Bank_世界银行.html,f4fc994e612b5b783bb3da89417c496bf5ae0d381859decfffd37cfb1da47219,https://www.worldbank.org/
it,IT Normattiva 法规库,ok,200,text/html,46692,it/IT_Normattiva_法规库.html,a602f3b0fe5862593a97017640745d385e688f37ce22b48080778fbf3cd4f02f,https://www.normattiva.it/
it,IT 个人数据保护法典 (Garante),error,0,,0,,,https://www.garanteprivacy.it/
it,IT 官方公报 Gazzetta Ufficiale,ok,200,text/html,43307,it/IT_官方公报_Gazzetta_Ufficiale.html,b5aaeab6b7fcdfcc1c6522325fbe7a22799e386a21b53d07c254da25bf6246f6,https://www.gazzettaufficiale.it/
it,IT 消费者法典 (Normattiva),ok,200,text/html,46692,it/IT_消费者法典_Normattiva.html,a602f3b0fe5862593a97017640745d385e688f37ce22b48080778fbf3cd4f02f,https://www.normattiva.it/
jo,JO 司法部,ok,200,text/html,278367,jo/JO_司法部.html,506f21c6ddbe516c5a330877dd911d782aa83319d19ba51e4237e53877cf2a61,https://www.moj.gov.jo/
jo,JO 司法部法规,ok,200,text/html,278367,jo/JO_司法部法规.html,948bd609acbd8f58e4099e35d61c532a5936e718bc9ce81801d2141feb56f3c9,https://www.moj.gov.jo/Default/Ar
jo,JO 消费者保护法 (MIT),ok,200,text/html,366050,jo/JO_消费者保护法_MIT.html,fa472995d28cac54bd81bab9b2a82047804fa00956cd9321784ca8e20a96ce2d,https://www.mit.gov.jo/
jp,JP e-Gov 法令检索门户,ok,200,text/html,800,jp/JP_e-Gov_法令检索门户.html,b2e5ede6447907450aadd16d512d97d3ffed4c35dac9e5ba0fa6a9859de8ab55,https://elaws.e-gov.go.jp/
jp,JP 厚生劳动省 (mhlw.go.jp),ok,200,text/html,84938,jp/JP_厚生劳动省_mhlw.go.jp.html,900c059552c4d7cf2def4ed2efbe4eeb06cd18f462c665ca27ad77beecfab750,https://www.mhlw.go.jp/
jp,JP 消费者厅 CAA (caa.go.jp),ok,200,text/html,60591,jp/JP_消费者厅_CAA_caa.go.jp.html,00d237eca0575567d69573366ab3d69addc26430035270af1ba2c72f172aab07,https://www.caa.go.jp/
jp,JP 财务省 关税 (customs.go.jp),ok,200,text/html,43721,jp/JP_财务省_关税_customs.go.jp.html,1d8debdab622453774713bd69917db32512be567b66252f7f1035621c54d5685,https://www.customs.go.jp/
jp,JP-APPI Act on the Protection of Personal Information,ok,200,text/xml,590804,jp/JP-APPI_Act_on_the_Protection_of_Personal_Information.xml,8a839b5b3423f27a6b73b0746b161e14eb543733986e3d608f6c10351978c95d,https://laws.e-gov.go.jp/api/1/lawdata/415AC0000000057
jp,JP-COMMERCE Act on Specified Commercial Transactions,ok,200,text/xml,704535,jp/JP-COMMERCE_Act_on_Specified_Commercial_Transactions.xml,baf61a5d0431aa34e88271fb3502a14e02c7491052143c170cae0a0f9ef77d54,https://laws.e-gov.go.jp/api/1/lawdata/351AC0000000057
